"id";"answer";"option1";"option2";"option3";"option4";"question";"course_id"
25;"href";"src";"href";"url";"link";"Which attribute is used to specify the URL of the page the link goes to?";6
26;"var, let, or const";"string";"int";"var, let, or const";"variable";"Which keyword is used to declare a variable in JavaScript?";7
27;"array";"string";"number";"boolean";"array";"Which of the following is NOT a primitive data type in JavaScript?";7
28;"22";"4";"22";"TypeError";"NaN";"What will console.log(2 + '2'); output in JavaScript?";7
29;"===";"==";"===";"=";"!=";"Which operator is used for strict equality comparison (both value and type) in JavaScript?";7
30;"To return a string indicating the data type of a value.";"To check if a variable is defined.";"To change the data type of a variable.";"To return a string indicating the data type of a value.";"To compare the types of two variables.";"What is the purpose of the typeof operator in JavaScript?";7
31;"Cascading Style Sheets";"Creative Style Sheets";"Cascading Style Sheets";" Colorful Style System";"Computer Style Syntax";"What does CSS stand for?";8
32;"<link rel=""stylesheet"" type=""text/css"" href=""styles.css"">";"<style src=""styles.css"">";"<link rel=""stylesheet"" type=""text/css"" href=""styles.css"">";"<css file=""styles.css"">";"<stylesheet> styles.css </stylesheet>";"Which of the following is the correct way to include CSS in an HTML document?";8
33;"color";"font-color";"text-color";"color";"foreground-color";"Which CSS property is used to change the text color of an element?";8
34;"font-size";"text-size";"font-size";"size";"text-style";"Which CSS property is used to control the size of the text?";8
35;"font-weight: bold;";"font-weight: bold;";"text-style: bold;";"font-style: bold;";"text-weight: bold;";"Which CSS property is used to make the text bold?";8
36;"Structured Query Language";"Simple Query Language";"Structured Question Language";"Structured Query Language";"Standard Query Logic";"What does SQL stand for?";10
37;"SELECT";"SELECT";"GET";"FETCH";"RETRIEVE";"Which SQL command is used to retrieve data from a database table?";10
38;"FROM";"WHERE";"FROM";"TABLE";"SOURCE";"Which SQL clause is used to specify the table(s) from which to retrieve data?";10
39;"WHERE";"FILTER";"CONDITION";"WHERE";"IF";"Which SQL clause is used to filter the rows returned based on a specified condition?";10
40;"INSERT INTO";"ADD";"CREATE ROW";"INSERT INTO";"NEW ROW";"Which SQL command is used to insert new rows into a table?";10
